Jahr;Bundesland;Kennzahl;Wirtschaftszweig;Stoffgruppe;Verwendung(t);VerwendungCO2(1000t);Einfuhr(t);EinfuhrCO2(1000t);Ausfuhr(t);AusfuhrCO2(100t)
2023;Baden-Württemberg;WZ08-13;Herstellung von Textilien;H-CKW (Teilchlorierte Kohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-13;Herstellung von Textilien;FBKW (Fluorbromkohlenwasserstoffe (Halone));N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-13;Herstellung von Textilien;H-BCKW (Teilhalog. Bromchlorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-13;Herstellung von Textilien;Insgesamt;N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-19;Kokerei und Mineralölverarbeitung;FKW (Fluorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-19;Kokerei und Mineralölverarbeitung;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-19;Kokerei und Mineralölverarbeitung;H-FCKW (Teilhalog. Fluorchlorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-19;Kokerei und Mineralölverarbeitung;Blends;N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-19;Kokerei und Mineralölverarbeitung;F-IKW (Fluoridkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-19;Kokerei und Mineralölverarbeitung;H-BKW (Hydrogenierte Bromkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-19;Kokerei und Mineralölverarbeitung;H-CKW (Teilchlorierte Kohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-19;Kokerei und Mineralölverarbeitung;FBKW (Fluorbromkohlenwasserstoffe (Halone));N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-19;Kokerei und Mineralölverarbeitung;H-BCKW (Teilhalog. Bromchlorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-19;Kokerei und Mineralölverarbeitung;Insgesamt;N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-20;Herstellung von chemischen Erzeugnissen;FKW (Fluorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-20;Herstellung von chemischen Erzeugnissen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-20;Herstellung von chemischen Erzeugnissen;H-FCKW (Teilhalog. Fluorchlorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-20;Herstellung von chemischen Erzeugnissen;Blends;N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-20;Herstellung von chemischen Erzeugnissen;F-IKW (Fluoridkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-20;Herstellung von chemischen Erzeugnissen;H-BKW (Hydrogenierte Bromkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-20;Herstellung von chemischen Erzeugnissen;H-CKW (Teilchlorierte Kohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-20;Herstellung von chemischen Erzeugnissen;FBKW (Fluorbromkohlenwasserstoffe (Halone));N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-20;Herstellung von chemischen Erzeugnissen;H-BCKW (Teilhalog. Bromchlorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-20;Herstellung von chemischen Erzeugnissen;Insgesamt;N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;FKW (Fluorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);1,55;2,02;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;H-FCKW (Teilhalog. Fluorchlorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;Blends;0,87;0,58;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;F-IKW (Fluoridkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;H-BKW (Hydrogenierte Bromkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;H-CKW (Teilchlorierte Kohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;FBKW (Fluorbromkohlenwasserstoffe (Halone));N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;H-BCKW (Teilhalog. Bromchlorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;Insgesamt;2,42;2,60;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-22;Herstellung von Gummi- und Kunststoffwaren;FKW (Fluorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-22;Herstellung von Gummi- und Kunststoffwaren;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-22;Herstellung von Gummi- und Kunststoffwaren;H-FCKW (Teilhalog. Fluorchlorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-22;Herstellung von Gummi- und Kunststoffwaren;Blends;N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-22;Herstellung von Gummi- und Kunststoffwaren;F-IKW (Fluoridkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-22;Herstellung von Gummi- und Kunststoffwaren;H-BKW (Hydrogenierte Bromkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-22;Herstellung von Gummi- und Kunststoffwaren;H-CKW (Teilchlorierte Kohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-22;Herstellung von Gummi- und Kunststoffwaren;FBKW (Fluorbromkohlenwasserstoffe (Halone));N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-22;Herstellung von Gummi- und Kunststoffwaren;H-BCKW (Teilhalog. Bromchlorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-22;Herstellung von Gummi- und Kunststoffwaren;Insgesamt;1,48;2,80;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;FKW (Fluorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;H-FCKW (Teilhalog. Fluorchlorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;Blends;N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;F-IKW (Fluoridkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;H-BKW (Hydrogenierte Bromkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;H-CKW (Teilchlorierte Kohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;FBKW (Fluorbromkohlenwasserstoffe (Halone));N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;H-BCKW (Teilhalog. Bromchlorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;Insgesamt;N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-24;Metallerzeugung und -bearbeitung;FKW (Fluorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-24;Metallerzeugung und -bearbeitung;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-24;Metallerzeugung und -bearbeitung;H-FCKW (Teilhalog. Fluorchlorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-24;Metallerzeugung und -bearbeitung;Blends;N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-24;Metallerzeugung und -bearbeitung;F-IKW (Fluoridkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-24;Metallerzeugung und -bearbeitung;H-BKW (Hydrogenierte Bromkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-24;Metallerzeugung und -bearbeitung;H-CKW (Teilchlorierte Kohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-24;Metallerzeugung und -bearbeitung;FBKW (Fluorbromkohlenwasserstoffe (Halone));N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-24;Metallerzeugung und -bearbeitung;H-BCKW (Teilhalog. Bromchlorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
