Jahr;Bundesland;Kennzahl;Wirtschaftszweig;Stoffgruppe;Verwendung;VerwendungCO2;Einfuhr;EinfuhrCO2;Ausfuhr;AusfuhrCO2
2023;Nordrhein-Westfalen;WZ08-20;Herstellung von chemischen Erzeugnissen;Insgesamt;4,93;6,69;N/A;N/A;N/A;N/A
2023;Nordrhein-Westfalen;WZ08-22;Herstellung von Gummi- und Kunststoffwaren;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);0,49;0,64;N/A;N/A;N/A;N/A
2023;Nordrhein-Westfalen;WZ08-22;Herstellung von Gummi- und Kunststoffwaren;Blends;1,29;1,40;N/A;N/A;N/A;N/A
2023;Nordrhein-Westfalen;WZ08-22;Herstellung von Gummi- und Kunststoffwaren;Insgesamt;1,78;2,04;N/A;N/A;N/A;N/A
2023;Nordrhein-Westfalen;WZ08-26;H.v. DV-Geräten, elektron. u. opt. Erzeugnissen;Blends;0,30;0,55;N/A;N/A;N/A;N/A
2023;Nordrhein-Westfalen;WZ08-26;H.v. DV-Geräten, elektron. u. opt. Erzeugnissen;Insgesamt;4,85;40,23;N/A;N/A;N/A;N/A
2023;Nordrhein-Westfalen;WZ08-27;Herstellung von elektrischen Ausrüstungen;Insgesamt;1,42;2,17;N/A;N/A;N/A;N/A
2023;Nordrhein-Westfalen;WZ08-28;Maschinenbau;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);33,65;36,33;N/A;N/A;N/A;N/A
2023;Nordrhein-Westfalen;WZ08-28;Maschinenbau;Blends;123,17;185,01;0,96;1,67;N/A;N/A
2023;Nordrhein-Westfalen;WZ08-28;Maschinenbau;Insgesamt;156,82;221,35;N/A;N/A;0,27;0,37
2023;Nordrhein-Westfalen;WZ08-29;Herstellung von Kraftwagen und Kraftwagenteilen;Blends;11,18;27,99;N/A;N/A;N/A;N/A
2023;Nordrhein-Westfalen;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);60,43;78,17;N/A;N/A;N/A;N/A
2023;Nordrhein-Westfalen;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;Blends;52,49;90,35;N/A;N/A;N/A;N/A
2023;Nordrhein-Westfalen;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;Insgesamt;112,92;168,52;N/A;N/A;N/A;N/A
2023;Nordrhein-Westfalen;WZ08-35;Energieversorgung;Insgesamt;0,47;0,73;N/A;N/A;N/A;N/A
2023;Nordrhein-Westfalen;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);43,51;49,09;N/A;N/A;N/A;N/A
2023;Nordrhein-Westfalen;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;Blends;109,86;205,41;N/A;N/A;N/A;N/A
2023;Nordrhein-Westfalen;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;Insgesamt;153,38;254,50;N/A;N/A;N/A;N/A
2023;Nordrhein-Westfalen;WZ08-45;Kfz-Handel, Instandhaltung und Reparatur von Kfz;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);27,35;25,24;N/A;N/A;N/A;N/A
2023;Nordrhein-Westfalen;WZ08-45;Kfz-Handel, Instandhaltung und Reparatur von Kfz;Blends;0,42;1,03;N/A;N/A;N/A;N/A
2023;Nordrhein-Westfalen;WZ08-45;Kfz-Handel, Instandhaltung und Reparatur von Kfz;Insgesamt;27,77;26,27;N/A;N/A;N/A;N/A
2023;Nordrhein-Westfalen;WZ08-46;Großhandel (ohne Handel mit Kraftfahrzeugen);H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);N/A;N/A;1851,46;1878,52;1424,67;3408,03
2023;Nordrhein-Westfalen;WZ08-46;Großhandel (ohne Handel mit Kraftfahrzeugen);Blends;105,43;222,75;N/A;N/A;N/A;N/A
2023;Nordrhein-Westfalen;WZ08-46;Großhandel (ohne Handel mit Kraftfahrzeugen);Insgesamt;150,30;261,11;N/A;N/A;2036,21;4451,48
2023;Nordrhein-Westfalen;WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);1,68;2,07;N/A;N/A;N/A;N/A
2023;Nordrhein-Westfalen;WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);Blends;2,72;6,07;N/A;N/A;N/A;N/A
2023;Nordrhein-Westfalen;WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);Insgesamt;4,40;8,14;N/A;N/A;N/A;N/A
2023;Nordrhein-Westfalen;WZ08-49;Landverkehr und Transport in Rohrfernleitungen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);7,84;10,18;N/A;N/A;N/A;N/A
2023;Nordrhein-Westfalen;WZ08-49;Landverkehr und Transport in Rohrfernleitungen;Insgesamt;8,13;10,69;N/A;N/A;N/A;N/A
2023;Nordrhein-Westfalen;WZ08-79;Reisebüros, -veranstalter u. sonst. Reservierungen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);0,34;0,45;N/A;N/A;N/A;N/A
2023;Nordrhein-Westfalen;WZ08-79;Reisebüros, -veranstalter u. sonst. Reservierungen;Insgesamt;0,34;0,45;N/A;N/A;N/A;N/A
2023;Nordrhein-Westfalen;WZ08-86;Gesundheitswesen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);5,35;5,83;N/A;N/A;N/A;N/A
2023;Nordrhein-Westfalen;WZ08-86;Gesundheitswesen;Blends;6,93;8,79;N/A;N/A;N/A;N/A
2023;Nordrhein-Westfalen;WZ08-86;Gesundheitswesen;Insgesamt;12,27;14,62;N/A;N/A;N/A;N/A
2023;Nordrhein-Westfalen;;Insgesamt;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);254,33;256,92;3131,04;2758,05;1880,25;3571,24
2023;Nordrhein-Westfalen;;Insgesamt;Blends;421,26;762,23;N/A;N/A;N/A;N/A
2023;Nordrhein-Westfalen;;Insgesamt;Insgesamt;919,26;1059,17;5214,08;5870,12;2495,04;4639,24
2023;Rheinland-Pfalz;WZ08-22;Herstellung von Gummi- und Kunststoffwaren;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);0,61;0,17;N/A;N/A;N/A;N/A
2023;Rheinland-Pfalz;WZ08-22;Herstellung von Gummi- und Kunststoffwaren;Blends;0,86;2,19;N/A;N/A;N/A;N/A
2023;Rheinland-Pfalz;WZ08-22;Herstellung von Gummi- und Kunststoffwaren;Insgesamt;1,47;2,36;N/A;N/A;N/A;N/A
2023;Rheinland-Pfalz;WZ08-28;Maschinenbau;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);17,50;22,46;N/A;N/A;N/A;N/A
2023;Rheinland-Pfalz;WZ08-28;Maschinenbau;Blends;20,66;40,68;N/A;N/A;N/A;N/A
2023;Rheinland-Pfalz;WZ08-28;Maschinenbau;Insgesamt;38,16;63,14;N/A;N/A;N/A;N/A
2023;Rheinland-Pfalz;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);11,49;12,81;N/A;N/A;N/A;N/A
2023;Rheinland-Pfalz;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;Blends;25,51;51,54;N/A;N/A;N/A;N/A
2023;Rheinland-Pfalz;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;Insgesamt;36,99;64,36;N/A;N/A;N/A;N/A
2023;Rheinland-Pfalz;WZ08-45;Kfz-Handel, Instandhaltung und Reparatur von Kfz;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);N/A;N/A;0,09;0,07;0,08;0,05
2023;Rheinland-Pfalz;WZ08-45;Kfz-Handel, Instandhaltung und Reparatur von Kfz;Insgesamt;7,70;6,59;0,09;0,07;0,08;0,05
2023;Rheinland-Pfalz;WZ08-46;Großhandel (ohne Handel mit Kraftfahrzeugen);H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);0,15;0,19;N/A;N/A;N/A;N/A
2023;Rheinland-Pfalz;WZ08-46;Großhandel (ohne Handel mit Kraftfahrzeugen);Blends;0,32;0,50;0,12;0,23;N/A;N/A
2023;Rheinland-Pfalz;WZ08-46;Großhandel (ohne Handel mit Kraftfahrzeugen);Insgesamt;0,46;0,69;0,12;0,23;N/A;N/A
2023;Rheinland-Pfalz;WZ08-49;Landverkehr und Transport in Rohrfernleitungen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);1,10;1,43;N/A;N/A;N/A;N/A
2023;Rheinland-Pfalz;WZ08-49;Landverkehr und Transport in Rohrfernleitungen;Insgesamt;1,10;1,43;N/A;N/A;N/A;N/A
2023;Rheinland-Pfalz;;Insgesamt;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);404,98;522,50;3,33;4,20;N/A;N/A
2023;Rheinland-Pfalz;;Insgesamt;Insgesamt;457,12;625,86;N/A;N/A;0,90;1,11
2023;Saarland;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);2,32;2,73;N/A;N/A;N/A;N/A
2023;Saarland;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;Blends;7,10;14,21;N/A;N/A;N/A;N/A
2023;Saarland;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;Insgesamt;9,43;16,94;N/A;N/A;N/A;N/A
2023;Saarland;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);4,96;6,19;N/A;N/A;N/A;N/A
2023;Saarland;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;Blends;13,02;26,32;N/A;N/A;N/A;N/A
2023;Saarland;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;Insgesamt;17,99;32,51;N/A;N/A;N/A;N/A
2023;Saarland;WZ08-45;Kfz-Handel, Instandhaltung und Reparatur von Kfz;Insgesamt;3,49;3,91;N/A;N/A;N/A;N/A
2023;Saarland;WZ08-49;Landverkehr und Transport in Rohrfernleitungen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);0,31;0,40;N/A;N/A;N/A;N/A
2023;Saarland;WZ08-49;Landverkehr und Transport in Rohrfernleitungen;Insgesamt;0,31;0,40;N/A;N/A;N/A;N/A
2023;Saarland;;Insgesamt;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);12,85;14,83;N/A;N/A;N/A;N/A
2023;Saarland;;Insgesamt;Blends;23,37;46,26;N/A;N/A;N/A;N/A
2023;Saarland;;Insgesamt;Insgesamt;36,22;61,09;N/A;N/A;N/A;N/A
2023;Sachsen;WZ08-26;H.v. DV-Geräten, elektron. u. opt. Erzeugnissen;FKW (Fluorkohlenwasserstoffe);73,75;598,57;N/A;N/A;N/A;N/A
2023;Sachsen;WZ08-26;H.v. DV-Geräten, elektron. u. opt. Erzeugnissen;Insgesamt;82,74;675,30;N/A;N/A;N/A;N/A
2023;Sachsen;WZ08-28;Maschinenbau;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);24,20;31,02;N/A;N/A;N/A;N/A
2023;Sachsen;WZ08-28;Maschinenbau;Blends;8,31;14,88;N/A;N/A;N/A;N/A
2023;Sachsen;WZ08-28;Maschinenbau;Insgesamt;32,51;45,90;N/A;N/A;N/A;N/A
2023;Sachsen;WZ08-29;Herstellung von Kraftwagen und Kraftwagenteilen;Blends;0,38;0,68;N/A;N/A;N/A;N/A
2023;Sachsen;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);19,13;24,39;N/A;N/A;N/A;N/A
2023;Sachsen;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;Blends;34,36;56,06;N/A;N/A;N/A;N/A
2023;Sachsen;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;Insgesamt;53,49;80,44;N/A;N/A;N/A;N/A
2023;Sachsen;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);11,40;16,34;N/A;N/A;N/A;N/A
2023;Sachsen;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;Blends;41,42;83,85;N/A;N/A;0,05;0,13
2023;Sachsen;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;Insgesamt;52,82;100,18;N/A;N/A;N/A;N/A
2023;Sachsen;WZ08-45;Kfz-Handel, Instandhaltung und Reparatur von Kfz;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);N/A;N/A;0,21;0,20;N/A;N/A
2023;Sachsen;WZ08-45;Kfz-Handel, Instandhaltung und Reparatur von Kfz;Insgesamt;14,16;14,04;0,21;0,20;N/A;N/A
2023;Sachsen;WZ08-46;Großhandel (ohne Handel mit Kraftfahrzeugen);H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);0,83;1,08;N/A;N/A;N/A;N/A
2023;Sachsen;WZ08-46;Großhandel (ohne Handel mit Kraftfahrzeugen);Blends;0,21;0,41;N/A;N/A;N/A;N/A
2023;Sachsen;WZ08-46;Großhandel (ohne Handel mit Kraftfahrzeugen);Insgesamt;1,04;1,48;N/A;N/A;N/A;N/A
2023;Sachsen;WZ08-49;Landverkehr und Transport in Rohrfernleitungen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);1,92;2,49;N/A;N/A;N/A;N/A
2023;Sachsen;WZ08-49;Landverkehr und Transport in Rohrfernleitungen;Insgesamt;1,92;2,49;N/A;N/A;N/A;N/A
2023;Sachsen;WZ08-86;Gesundheitswesen;Blends;0,14;0,30;N/A;N/A;N/A;N/A
2023;Sachsen;WZ08-86;Gesundheitswesen;Insgesamt;0,14;0,30;N/A;N/A;N/A;N/A
2023;Sachsen;;Insgesamt;FKW (Fluorkohlenwasserstoffe);73,75;598,57;N/A;N/A;N/A;N/A
2023;Sachsen;;Insgesamt;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);165,35;168,16;N/A;N/A;N/A;N/A
2023;Sachsen;;Insgesamt;Insgesamt;327,05;927,81;1,36;9,18;0,50;2,07
2023;Sachsen-Anhalt;WZ08-20;Herstellung von chemischen Erzeugnissen;Insgesamt;1,50;2,11;N/A;N/A;N/A;N/A
2023;Sachsen-Anhalt;WZ08-22;Herstellung von Gummi- und Kunststoffwaren;Blends;0,66;1,05;N/A;N/A;N/A;N/A
2023;Sachsen-Anhalt;WZ08-28;Maschinenbau;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);1,71;2,58;N/A;N/A;N/A;N/A
2023;Sachsen-Anhalt;WZ08-28;Maschinenbau;Blends;3,54;9,75;N/A;N/A;N/A;N/A
2023;Sachsen-Anhalt;WZ08-28;Maschinenbau;Insgesamt;5,26;12,33;N/A;N/A;N/A;N/A
2023;Sachsen-Anhalt;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;Blends;3,74;6,74;N/A;N/A;N/A;N/A
2023;Sachsen-Anhalt;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);3,17;3,70;N/A;N/A;N/A;N/A
2023;Sachsen-Anhalt;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;Blends;8,92;17,98;N/A;N/A;N/A;N/A
2023;Sachsen-Anhalt;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;Insgesamt;12,10;21,68;N/A;N/A;N/A;N/A
2023;Sachsen-Anhalt;WZ08-45;Kfz-Handel, Instandhaltung und Reparatur von Kfz;Insgesamt;6,29;6,76;N/A;N/A;N/A;N/A
2023;Sachsen-Anhalt;WZ08-46;Großhandel (ohne Handel mit Kraftfahrzeugen);H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);0,30;0,39;N/A;N/A;N/A;N/A
2023;Sachsen-Anhalt;WZ08-46;Großhandel (ohne Handel mit Kraftfahrzeugen);Blends;0,36;0,62;N/A;N/A;N/A;N/A
2023;Sachsen-Anhalt;WZ08-46;Großhandel (ohne Handel mit Kraftfahrzeugen);Insgesamt;0,66;1,00;N/A;N/A;N/A;N/A
2023;Sachsen-Anhalt;WZ08-86;Gesundheitswesen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);0,37;0,27;N/A;N/A;N/A;N/A
2023;Sachsen-Anhalt;WZ08-86;Gesundheitswesen;Blends;0,94;2,42;N/A;N/A;N/A;N/A
2023;Sachsen-Anhalt;WZ08-86;Gesundheitswesen;Insgesamt;1,31;2,70;N/A;N/A;N/A;N/A
2023;Sachsen-Anhalt;;Insgesamt;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);178,49;88,21;N/A;N/A;N/A;N/A
2023;Sachsen-Anhalt;;Insgesamt;Blends;19,53;41,31;N/A;N/A;N/A;N/A
2023;Sachsen-Anhalt;;Insgesamt;Insgesamt;198,02;129,52;N/A;N/A;N/A;N/A
2023;Schleswig-Holstein;WZ08-28;Maschinenbau;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);2,74;3,41;N/A;N/A;N/A;N/A
2023;Schleswig-Holstein;WZ08-28;Maschinenbau;Blends;6,28;12,59;N/A;N/A;N/A;N/A
2023;Schleswig-Holstein;WZ08-28;Maschinenbau;Insgesamt;9,02;15,99;N/A;N/A;N/A;N/A
2023;Schleswig-Holstein;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);4,11;5,03;N/A;N/A;N/A;N/A
2023;Schleswig-Holstein;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;Blends;9,89;19,26;N/A;N/A;N/A;N/A
2023;Schleswig-Holstein;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;Insgesamt;13,99;24,29;N/A;N/A;N/A;N/A
2023;Schleswig-Holstein;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);5,52;6,90;N/A;N/A;N/A;N/A
2023;Schleswig-Holstein;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;Blends;17,40;31,59;N/A;N/A;N/A;N/A
2023;Schleswig-Holstein;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;Insgesamt;22,92;38,49;N/A;N/A;N/A;N/A
2023;Schleswig-Holstein;WZ08-45;Kfz-Handel, Instandhaltung und Reparatur von Kfz;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);4,87;4,94;N/A;N/A;N/A;N/A
2023;Schleswig-Holstein;WZ08-45;Kfz-Handel, Instandhaltung und Reparatur von Kfz;Insgesamt;4,87;4,94;N/A;N/A;N/A;N/A
2023;Schleswig-Holstein;WZ08-46;Großhandel (ohne Handel mit Kraftfahrzeugen);H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);1,60;2,01;N/A;N/A;N/A;N/A
2023;Schleswig-Holstein;WZ08-46;Großhandel (ohne Handel mit Kraftfahrzeugen);Blends;3,64;7,09;N/A;N/A;N/A;N/A
2023;Schleswig-Holstein;WZ08-46;Großhandel (ohne Handel mit Kraftfahrzeugen);Insgesamt;5,25;9,10;N/A;N/A;N/A;N/A
2023;Schleswig-Holstein;WZ08-96;Sonstige überwiegend persönliche Dienstleistungen;Insgesamt;0,24;0,34;N/A;N/A;N/A;N/A
2023;Schleswig-Holstein;;Insgesamt;Blends;37,78;71,64;N/A;N/A;N/A;N/A
2023;Schleswig-Holstein;;Insgesamt;Insgesamt;65,77;189,97;N/A;N/A;N/A;N/A
2023;Thüringen;WZ08-20;Herstellung von chemischen Erzeugnissen;Blends;0,37;0,60;N/A;N/A;N/A;N/A
2023;Thüringen;WZ08-20;Herstellung von chemischen Erzeugnissen;Insgesamt;0,37;0,60;N/A;N/A;N/A;N/A
2023;Thüringen;WZ08-22;Herstellung von Gummi- und Kunststoffwaren;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);1,20;1,55;N/A;N/A;N/A;N/A
2023;Thüringen;WZ08-22;Herstellung von Gummi- und Kunststoffwaren;Insgesamt;4,11;3,22;N/A;N/A;N/A;N/A
2023;Thüringen;WZ08-26;H.v. DV-Geräten, elektron. u. opt. Erzeugnissen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);0,47;5,19;N/A;N/A;N/A;N/A
2023;Thüringen;WZ08-26;H.v. DV-Geräten, elektron. u. opt. Erzeugnissen;Insgesamt;8,01;82,13;N/A;N/A;N/A;N/A
2023;Thüringen;WZ08-28;Maschinenbau;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);1,78;2,18;N/A;N/A;N/A;N/A
2023;Thüringen;WZ08-28;Maschinenbau;Blends;4,56;10,57;N/A;N/A;N/A;N/A
2023;Thüringen;WZ08-28;Maschinenbau;Insgesamt;6,35;12,75;N/A;N/A;N/A;N/A
2023;Thüringen;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);0,51;0,66;N/A;N/A;N/A;N/A
2023;Thüringen;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;Blends;2,03;4,65;N/A;N/A;N/A;N/A
2023;Thüringen;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;Insgesamt;2,54;5,30;N/A;N/A;N/A;N/A
2023;Thüringen;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);1,42;1,62;N/A;N/A;N/A;N/A
2023;Thüringen;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;Blends;7,07;12,82;N/A;N/A;N/A;N/A
2023;Thüringen;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;Insgesamt;8,49;14,44;N/A;N/A;N/A;N/A
2023;Thüringen;WZ08-45;Kfz-Handel, Instandhaltung und Reparatur von Kfz;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);5,44;5,11;N/A;N/A;N/A;N/A
2023;Thüringen;WZ08-45;Kfz-Handel, Instandhaltung und Reparatur von Kfz;Insgesamt;5,44;5,11;N/A;N/A;N/A;N/A
2023;Thüringen;WZ08-46;Großhandel (ohne Handel mit Kraftfahrzeugen);H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);0,47;0,56;N/A;N/A;N/A;N/A
2023;Thüringen;WZ08-46;Großhandel (ohne Handel mit Kraftfahrzeugen);Blends;0,65;1,06;N/A;N/A;N/A;N/A
2023;Thüringen;WZ08-46;Großhandel (ohne Handel mit Kraftfahrzeugen);Insgesamt;1,11;1,62;N/A;N/A;N/A;N/A
2023;Thüringen;WZ08-49;Landverkehr und Transport in Rohrfernleitungen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);1,73;2,25;N/A;N/A;N/A;N/A
2023;Thüringen;WZ08-49;Landverkehr und Transport in Rohrfernleitungen;Insgesamt;1,73;2,25;N/A;N/A;N/A;N/A
2023;Thüringen;WZ08-86;Gesundheitswesen;Insgesamt;0,43;0,85;N/A;N/A;N/A;N/A
2023;Thüringen;;Insgesamt;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);169,63;186,46;N/A;N/A;N/A;N/A
2023;Thüringen;;Insgesamt;Blends;17,62;34,34;N/A;N/A;N/A;N/A
2023;Thüringen;;Insgesamt;Insgesamt;196,43;296,73;N/A;N/A;N/A;N/A
