Jahr;Bundesland;Kennzahl;Wirtschaftszweig;Stoffgruppe;Verwendung;VerwendungCO2;Einfuhr;EinfuhrCO2;Ausfuhr;AusfuhrCO2
2023;Bayern;WZ08-26;H.v. DV-Geräten, elektron. u. opt. Erzeugnissen;Blends;0,52;0,51;N/A;N/A;N/A;N/A
2023;Bayern;WZ08-26;H.v. DV-Geräten, elektron. u. opt. Erzeugnissen;Insgesamt;20,94;199,14;N/A;N/A;N/A;N/A
2023;Bayern;WZ08-27;Herstellung von elektrischen Ausrüstungen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);0,18;0,19;N/A;N/A;N/A;N/A
2023;Bayern;WZ08-28;Maschinenbau;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);160,71;145,46;N/A;N/A;N/A;N/A
2023;Bayern;WZ08-28;Maschinenbau;Blends;282,30;475,97;N/A;N/A;N/A;N/A
2023;Bayern;WZ08-28;Maschinenbau;Insgesamt;443,01;621,43;N/A;N/A;N/A;N/A
2023;Bayern;WZ08-29;Herstellung von Kraftwagen und Kraftwagenteilen;Blends;1,50;3,03;N/A;N/A;N/A;N/A
2023;Bayern;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);8,15;9,88;N/A;N/A;N/A;N/A
2023;Bayern;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;Blends;24,46;44,62;N/A;N/A;N/A;N/A
2023;Bayern;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;Insgesamt;32,61;54,50;N/A;N/A;N/A;N/A
2023;Bayern;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;Blends;87,42;154,83;N/A;N/A;N/A;N/A
2023;Bayern;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;Insgesamt;123,57;196,73;N/A;N/A;N/A;N/A
2023;Bayern;WZ08-45;Kfz-Handel, Instandhaltung und Reparatur von Kfz;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);124,54;129,58;N/A;N/A;25,42;26,62
2023;Bayern;WZ08-45;Kfz-Handel, Instandhaltung und Reparatur von Kfz;Blends;3,04;6,16;N/A;N/A;N/A;N/A
2023;Bayern;WZ08-45;Kfz-Handel, Instandhaltung und Reparatur von Kfz;Insgesamt;127,58;135,74;N/A;N/A;25,42;26,62
2023;Bayern;WZ08-46;Großhandel (ohne Handel mit Kraftfahrzeugen);H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);N/A;N/A;N/A;N/A;241,59;276,29
2023;Bayern;WZ08-46;Großhandel (ohne Handel mit Kraftfahrzeugen);Blends;27,05;47,19;1552,16;2677,01;N/A;N/A
2023;Bayern;WZ08-46;Großhandel (ohne Handel mit Kraftfahrzeugen);Insgesamt;49,20;73,47;2383,67;3603,51;N/A;N/A
2023;Bayern;WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);0,54;0,67;N/A;N/A;N/A;N/A
2023;Bayern;WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);Blends;0,79;1,67;N/A;N/A;N/A;N/A
2023;Bayern;WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);Insgesamt;1,33;2,35;N/A;N/A;N/A;N/A
2023;Bayern;WZ08-68;Grundstücks- und Wohnungswesen;Insgesamt;1,05;1,16;N/A;N/A;N/A;N/A
2023;Bayern;WZ08-86;Gesundheitswesen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);2,34;3,05;N/A;N/A;N/A;N/A
2023;Bayern;WZ08-86;Gesundheitswesen;Blends;0,80;1,72;N/A;N/A;N/A;N/A
2023;Bayern;WZ08-86;Gesundheitswesen;Insgesamt;3,15;4,77;N/A;N/A;N/A;N/A
2023;Bayern;;Insgesamt;FKW (Fluorkohlenwasserstoffe);20,47;194,74;N/A;N/A;N/A;N/A
2023;Bayern;;Insgesamt;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);2669,29;509,74;2494,74;1186,98;285,95;455,08
2023;Bayern;;Insgesamt;Blends;480,05;843,15;1553,69;2678,89;N/A;N/A
2023;Bayern;;Insgesamt;Insgesamt;3171,87;1547,63;4099,93;4323,78;505,27;1102,52
2023;Berlin;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);4,10;5,18;N/A;N/A;N/A;N/A
2023;Berlin;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;Blends;14,64;26,93;N/A;N/A;N/A;N/A
2023;Berlin;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;Insgesamt;18,74;32,11;N/A;N/A;N/A;N/A
2023;Berlin;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;Blends;7,41;15,16;N/A;N/A;N/A;N/A
2023;Berlin;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;Insgesamt;9,74;17,60;N/A;N/A;N/A;N/A
2023;Berlin;WZ08-45;Kfz-Handel, Instandhaltung und Reparatur von Kfz;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);7,72;5,61;0,15;0,12;N/A;N/A
2023;Berlin;WZ08-45;Kfz-Handel, Instandhaltung und Reparatur von Kfz;Insgesamt;7,72;5,61;0,15;0,12;N/A;N/A
2023;Berlin;;Insgesamt;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);N/A;N/A;0,15;0,12;N/A;N/A
